Allen 2013,ERG TVA 2011,ERG Camera 2011,Bell-2017,Zimmerle-2019,
0.036462643,,9.8508800E-02,,0.058088564,
0.013186656,,1.7510400E-02,,0.055477709,
0.018419456,,3.1769600E-01,,0.000555691,
0.04918832,,1.0700800E-01,,0.000546088,
0.001856765,,1.1975040E-01,,0.127886812,
0.00421992,,1.9123200E-01,,0.158946294,
0.02292479,,1.7177600E-01,,0.00515503,
0.004724957,,2.1228800E-01,,0.062763657,
0.009449914,,2.1888000E-01,,0.101054158,
0.050049542,,3.1408000E-01,,0.674434153,
0.060374448,,4.0352000E-01,,0.000568464,
0.010674902,,5.3602560E-01,,0.006851177,
0.003849965,,3.5481600E-02,,0.000538543,
0.005599949,,3.1104000E-01,,0.000551983,
0.001012781,,9.6384000E-02,,0.001905145,
0.04591273,,3.4816000E-03,,0.00316783,
0.010465402,,2.9696000E-02,,0.007966458,
0.029877034,,1.8649600E-02,,0.007552086,
0.024981926,,1.6262400E-01,,0.0575347,
0.022787568,,1.5744000E-01,,0.017840817,
0.039329654,,3.3945600E-02,,0.072472502,
0.032240189,,7.9859200E-02,,0.033710871,
0.00141575,,1.2438400E-01,,0.097243999,
0.028157702,,1.9430400E-01,,2.41352317,
0.029258842,,8.7494400E-02,,0.000543377,
0.015101338,,4.5036800E-02,,0.07865353,
0.001887667,,7.2553600E-01,,0.068895557,
0.016045171,,2.2717440E-01,,,
0.02752848,,1.7145600E-02,,,
0.003775334,,8.7692800E-02,,,
0.00141575,,0.003008,,,
0.000629222,,0.0596736,,,
0.004089946,,0.520704,,,
0.00534839,,0.0758016,,,
0.009752947,,0.142016,,,
0.042787123,,0.0156672,,,
0.014000198,,0.034848,,,
0.010539475,,0.035152,,,
0.004876474,,0.0868032,,,
0.014157504,,0.0047104,,,
0.004895107,,0.0151424,,,
0.013113274,,0.033264,,,
0.008505907,,0.0395264,,,
,,0.00544,,,
,,0.128368,,,
,,0.0098304,,,
,,0.001984,,,
,,0.00624,,,
,,0.5838848,,,
,,2.1827072,,,
,,2.4078816,,,
,,0.00032,,,
,,0.0600768,,,
,,0.374784,,,
,,0.46464,,,
,,1.7234208,,,
,,1.682944,,,
,,1.482752,,,
,,1.4523904,,,
,,2.312544,,,
,,2.3856096,,,
,,0.115072,,,
,,0.11424,,,
,,0.111104,,,
,,0.229824,,,
,,0.101376,,,
,,0.017264,,,
,,0.0462848,,,
,,0.186496,,,
,,0.010944,,,
,,0.0384,,,
,,0.06816,,,
,,0.0315456,,,
,,0.067808,,,
,,0.0544608,,,
,,0.397056,,,
,,1.216384,,,
,,0.470016,,,
,,1.97472,,,
,,0.049296,,,
,,0.072192,,,
,,0.0023936,,,
,,0.021504,,,
,,0.0384,,,
,,0.00032,,,
,,0.0145152,,,
,,0.029952,,,
,,0.0628704,,,
,,0.0702464,,,
,,0.199392,,,
,,1.300992,,,
,,0.368928,,,
,,0.372832,,,
,,1.232064,,,
,,2.11904,,,
,,0.347616,,,
,,0.0497984,,,
,,0.352512,,,
,,0.215712,,,
,,0.33696,,,
,,0.4352,,,
,,1.134912,,,
,,0.09072,,,
,,0.1177344,,,
,,0.003264,,,
,,0.0055488,,,
,,0.016864,,,
,,0.0215232,,,
,,0.011648,,,
,,0.078384,,,
,,0.12096,,,
,,1.9623296,,,
,,0.044352,,,
,,0.481536,,,
,,1.149632,,,
