Allen 2013,ERG TVA 2011,ERG Camera 2011,Kuo 2012,Ravikumar-Measured only 2020,Bell-2017,Pacsi-2019,Zimmerle-2019
0.003038342,1.5456000E-04,2.2963200E-02,,0.007758653,,0.000180332,0.0005407
0.011984573,1.6128000E-04,5.7305600E-02,,0.002586218,,0.000164484,0.000547135
0.003375936,4.0000000E-04,5.5705600E-01,,0.002586218,,0.000127918,0.001498236
0.007089466,1.4080000E-03,7.1040000E-03,,0.015517306,,0.000126191,0.00204419
0.007535232,8.1696000E-02,1.3593600E-02,,0.002586218,,0.000126151,0.006508533
0.003544733,2.1760000E-03,3.2665600E-01,,0.062069226,,0.000121147,0.00901888
0.026332301,8.0512000E-03,3.2000000E-05,,0.002586218,,0.000118491,0.012393512
0.002194358,4.7187200E-04,6.8160000E-05,,0.002586218,,0.000117325,0.013130964
0.000843984,9.2160000E-03,8.0512000E-03,,0.020689742,,0.000112178,0.013658794
0.001687968,1.6732800E-02,1.2688000E-02,,0.002586218,,0.000106944,0.016793986
0.003375936,4.6953600E-02,2.5344000E-02,,0.002586218,,0.000102455,0.017075287
0.001012781,6.5196800E-02,2.9721600E-02,,0.031034613,,0.000102018,0.028575326
0.000349997,7.4144000E-01,3.1136000E-02,,0.005172435,,9.9433E-05,0.180040837
0.001224989,8.9600000E-04,2.9232000E-02,,0.002586218,,9.81998E-05,0.001919548
0.006076685,1.5030400E-03,4.5248000E-02,,0.005172435,,9.77675E-05,0.003044277
0.000537149,6.0652800E-02,5.4662400E-02,,0.002586218,,9.73112E-05,0.422531775
0.010802995,9.5904000E-02,4.8576000E-02,,0.005172435,,9.59211E-05,0.001467629
0.001181578,1.1040000E-05,6.8844800E-02,,0.002586218,,9.52604E-05,0.001362584
0.001012781,1.4160640E-03,8.3072000E-02,,0.002586218,,9.44716E-05,0.00983419
